Support 	 Itemset 
(0.69) 	 TV
(0.60) 	 TV, Air conditioning
(0.59) 	 TV, Air conditioning, Heating
(0.54) 	 TV, Air conditioning, Heating, Essentials
(0.53) 	 TV, Air conditioning, Heating, Essentials, Kitchen
(0.52) 	 TV, Air conditioning, Heating, Essentials, Kitchen, Wireless Internet
(0.53) 	 TV, Air conditioning, Heating, Essentials, Wireless Internet
(0.51) 	 TV, Air conditioning, Heating, Washer
(0.51) 	 TV, Air conditioning, Heating, Washer, Dryer
(0.50) 	 TV, Air conditioning, Heating, Washer, Dryer, Kitchen
(0.50) 	 TV, Air conditioning, Heating, Washer, Dryer, Wireless Internet
(0.51) 	 TV, Air conditioning, Heating, Washer, Kitchen
(0.50) 	 TV, Air conditioning, Heating, Washer, Kitchen, Wireless Internet
(0.51) 	 TV, Air conditioning, Heating, Washer, Wireless Internet
(0.51) 	 TV, Air conditioning, Heating, Dryer
(0.50) 	 TV, Air conditioning, Heating, Dryer, Kitchen
(0.50) 	 TV, Air conditioning, Heating, Dryer, Kitchen, Wireless Internet
(0.51) 	 TV, Air conditioning, Heating, Dryer, Wireless Internet
(0.58) 	 TV, Air conditioning, Heating, Kitchen
(0.57) 	 TV, Air conditioning, Heating, Kitchen, Wireless Internet
(0.58) 	 TV, Air conditioning, Heating, Wireless Internet
(0.54) 	 TV, Air conditioning, Essentials
(0.53) 	 TV, Air conditioning, Essentials, Kitchen
(0.53) 	 TV, Air conditioning, Essentials, Kitchen, Wireless Internet
(0.54) 	 TV, Air conditioning, Essentials, Wireless Internet
(0.52) 	 TV, Air conditioning, Washer
(0.51) 	 TV, Air conditioning, Washer, Dryer
(0.51) 	 TV, Air conditioning, Washer, Dryer, Kitchen
(0.50) 	 TV, Air conditioning, Washer, Dryer, Kitchen, Wireless Internet
(0.51) 	 TV, Air conditioning, Washer, Dryer, Wireless Internet
(0.51) 	 TV, Air conditioning, Washer, Kitchen
(0.51) 	 TV, Air conditioning, Washer, Kitchen, Wireless Internet
(0.52) 	 TV, Air conditioning, Washer, Wireless Internet
(0.52) 	 TV, Air conditioning, Dryer
(0.51) 	 TV, Air conditioning, Dryer, Kitchen
(0.51) 	 TV, Air conditioning, Dryer, Kitchen, Wireless Internet
(0.51) 	 TV, Air conditioning, Dryer, Wireless Internet
(0.58) 	 TV, Air conditioning, Kitchen
(0.58) 	 TV, Air conditioning, Kitchen, Wireless Internet
(0.59) 	 TV, Air conditioning, Wireless Internet
(0.67) 	 TV, Heating
(0.51) 	 TV, Heating, Shampoo
(0.50) 	 TV, Heating, Shampoo, Wireless Internet
(0.61) 	 TV, Heating, Essentials
(0.52) 	 TV, Heating, Essentials, Washer
(0.52) 	 TV, Heating, Essentials, Washer, Dryer
(0.51) 	 TV, Heating, Essentials, Washer, Dryer, Kitchen
(0.51) 	 TV, Heating, Essentials, Washer, Dryer, Kitchen, Wireless Internet
(0.51) 	 TV, Heating, Essentials, Washer, Dryer, Wireless Internet
(0.52) 	 TV, Heating, Essentials, Washer, Kitchen
(0.51) 	 TV, Heating, Essentials, Washer, Kitchen, Wireless Internet
(0.52) 	 TV, Heating, Essentials, Washer, Wireless Internet
(0.52) 	 TV, Heating, Essentials, Dryer
(0.51) 	 TV, Heating, Essentials, Dryer, Kitchen
(0.51) 	 TV, Heating, Essentials, Dryer, Kitchen, Wireless Internet
(0.52) 	 TV, Heating, Essentials, Dryer, Wireless Internet
(0.60) 	 TV, Heating, Essentials, Kitchen
(0.59) 	 TV, Heating, Essentials, Kitchen, Wireless Internet
(0.61) 	 TV, Heating, Essentials, Wireless Internet
(0.57) 	 TV, Heating, Washer
(0.56) 	 TV, Heating, Washer, Dryer
(0.56) 	 TV, Heating, Washer, Dryer, Kitchen
(0.55) 	 TV, Heating, Washer, Dryer, Kitchen, Wireless Internet
(0.56) 	 TV, Heating, Washer, Dryer, Wireless Internet
(0.57) 	 TV, Heating, Washer, Kitchen
(0.56) 	 TV, Heating, Washer, Kitchen, Wireless Internet
(0.57) 	 TV, Heating, Washer, Wireless Internet
(0.57) 	 TV, Heating, Dryer
(0.56) 	 TV, Heating, Dryer, Kitchen
(0.56) 	 TV, Heating, Dryer, Kitchen, Wireless Internet
(0.56) 	 TV, Heating, Dryer, Wireless Internet
(0.66) 	 TV, Heating, Kitchen
(0.65) 	 TV, Heating, Kitchen, Wireless Internet
(0.51) 	 TV, Heating, Kitchen, Wireless Internet, Internet
(0.51) 	 TV, Heating, Kitchen, Internet
(0.67) 	 TV, Heating, Wireless Internet
(0.52) 	 TV, Heating, Wireless Internet, Internet
(0.52) 	 TV, Heating, Internet
(0.51) 	 TV, Shampoo
(0.50) 	 TV, Shampoo, Kitchen
(0.51) 	 TV, Shampoo, Wireless Internet
(0.62) 	 TV, Essentials
(0.53) 	 TV, Essentials, Washer
(0.52) 	 TV, Essentials, Washer, Dryer
(0.52) 	 TV, Essentials, Washer, Dryer, Kitchen
(0.51) 	 TV, Essentials, Washer, Dryer, Kitchen, Wireless Internet
(0.52) 	 TV, Essentials, Washer, Dryer, Wireless Internet
(0.52) 	 TV, Essentials, Washer, Kitchen
(0.52) 	 TV, Essentials, Washer, Kitchen, Wireless Internet
(0.53) 	 TV, Essentials, Washer, Wireless Internet
(0.53) 	 TV, Essentials, Dryer
(0.52) 	 TV, Essentials, Dryer, Kitchen
(0.52) 	 TV, Essentials, Dryer, Kitchen, Wireless Internet
(0.52) 	 TV, Essentials, Dryer, Wireless Internet
(0.61) 	 TV, Essentials, Kitchen
(0.60) 	 TV, Essentials, Kitchen, Wireless Internet
(0.62) 	 TV, Essentials, Wireless Internet
(0.58) 	 TV, Washer
(0.57) 	 TV, Washer, Dryer
(0.57) 	 TV, Washer, Dryer, Kitchen
(0.56) 	 TV, Washer, Dryer, Kitchen, Wireless Internet
(0.57) 	 TV, Washer, Dryer, Wireless Internet
(0.58) 	 TV, Washer, Kitchen
(0.57) 	 TV, Washer, Kitchen, Wireless Internet
(0.58) 	 TV, Washer, Wireless Internet
(0.58) 	 TV, Dryer
(0.57) 	 TV, Dryer, Kitchen
(0.57) 	 TV, Dryer, Kitchen, Wireless Internet
(0.57) 	 TV, Dryer, Wireless Internet
(0.67) 	 TV, Kitchen
(0.66) 	 TV, Kitchen, Wireless Internet
(0.51) 	 TV, Kitchen, Wireless Internet, Internet
(0.52) 	 TV, Kitchen, Internet
(0.68) 	 TV, Wireless Internet
(0.52) 	 TV, Wireless Internet, Internet
(0.53) 	 TV, Internet
(0.56) 	 Hair dryer
(0.51) 	 Hair dryer, Hangers
(0.50) 	 Hair dryer, Hangers, Heating
(0.50) 	 Hair dryer, Hangers, Heating, Wireless Internet
(0.51) 	 Hair dryer, Hangers, Wireless Internet
(0.55) 	 Hair dryer, Heating
(0.52) 	 Hair dryer, Heating, Essentials
(0.50) 	 Hair dryer, Heating, Essentials, Kitchen
(0.50) 	 Hair dryer, Heating, Essentials, Kitchen, Wireless Internet
(0.52) 	 Hair dryer, Heating, Essentials, Wireless Internet
(0.53) 	 Hair dryer, Heating, Kitchen
(0.53) 	 Hair dryer, Heating, Kitchen, Wireless Internet
(0.55) 	 Hair dryer, Heating, Wireless Internet
(0.53) 	 Hair dryer, Essentials
(0.51) 	 Hair dryer, Essentials, Kitchen
(0.51) 	 Hair dryer, Essentials, Kitchen, Wireless Internet
(0.53) 	 Hair dryer, Essentials, Wireless Internet
(0.54) 	 Hair dryer, Kitchen
(0.53) 	 Hair dryer, Kitchen, Wireless Internet
(0.55) 	 Hair dryer, Wireless Internet
(0.66) 	 Hangers
(0.51) 	 Hangers, Iron
(0.50) 	 Hangers, Iron, Heating
